age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,age_x_age,age_x_fnlwgt,age_x_education_num,age_x_capital_gain,age_x_capital_loss,age_x_hours_per_week,fnlwgt_x_fnlwgt,fnlwgt_x_education_num,fnlwgt_x_capital_gain,fnlwgt_x_capital_loss,fnlwgt_x_hours_per_week,education_num_x_education_num,education_num_x_capital_gain,education_num_x_capital_loss,education_num_x_hours_per_week,capital_gain_x_capital_gain,capital_gain_x_capital_loss,capital_gain_x_hours_per_week,capital_loss_x_capital_loss,capital_loss_x_hours_per_week,hours_per_week_x_hours_per_week,marital_status_statistics,male,female
36,Private,172256,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,44,United-States,>50K,1296,6201216,324,0,0,1584,-392641536,1550304,0,0,7579264,81,0,0,396,0,0,0,0,0,1936,,,
33,Private,164707,Assoc-acdm,12,Never-married,Exec-managerial,Unmarried,White,Female,2174,0,55,?,<=50K,1089,5435331,396,71742,0,1815,1358592073,1976484,358073018,0,9058885,144,26088,0,660,4726276,0,119570,0,0,3025,Never-married,47.35,41.81
36,Private,31438,HS-grad,9,Divorced,Transport-moving,Unmarried,White,Male,0,0,43,?,<=50K,1296,1131768,324,0,0,1548,988347844,282942,0,0,1351834,81,0,0,387,0,0,0,0,0,1849,Divorced,10.82,15.09
43,Private,143368,HS-grad,9,Divorced,Farming-fishing,Not-in-family,Black,Male,0,0,40,United-States,<=50K,1849,6164824,387,0,0,1720,-920453056,1290312,0,0,5734720,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
43,Private,112967,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K,1849,4857581,430,0,0,1720,-123358799,1129670,0,0,4518680,100,0,0,400,0,0,0,0,0,1600,,,
40,Private,174373,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,1600,6974920,520,0,0,2000,341172057,2266849,0,0,8718650,169,0,0,650,0,0,0,0,0,2500,,,
41,Private,424478,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,45,United-States,>50K,1681,17403598,410,0,0,1845,-207053948,4244780,0,0,19101510,100,0,0,450,0,0,0,0,0,2025,,,
33,State-gov,208785,Some-college,10,Separated,Prof-specialty,Not-in-family,White,Male,10520,0,40,United-States,>50K,1089,6889905,330,347160,0,1320,641503265,2087850,-2098549096,0,8351400,100,105200,0,400,110670400,0,420800,0,0,1600,,,
36,Private,163396,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K,1296,5882256,396,0,0,1440,928449040,1797356,0,0,6535840,121,0,0,440,0,0,0,0,0,1600,,,
50,Private,94391,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K,2500,4719550,550,0,0,2500,319726289,1038301,0,0,4719550,121,0,0,550,0,0,0,0,0,2500,,,
31,Private,574005,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,44,United-States,>50K,961,17794155,403,0,0,1364,-1230741767,7462065,0,0,25256220,169,0,0,572,0,0,0,0,0,1936,,,
49,Self-emp-not-inc,51620,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,<=50K,2401,2529380,784,0,0,2940,-1630342896,825920,0,0,3097200,256,0,0,960,0,0,0,0,0,3600,,,
48,Self-emp-not-inc,379883,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Mexico,>50K,2304,18234384,672,0,0,1920,-1717794375,5318362,0,0,15195320,196,0,0,560,0,0,0,0,0,1600,,,
49,Self-emp-not-inc,107597,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,14084,0,30,United-States,>50K,2401,5272253,441,690116,0,1470,-1307787479,968373,1515396148,0,3227910,81,126756,0,270,198359056,0,422520,0,0,900,Divorced,10.82,15.09
48,Private,121253,Bachelors,13,Married-spouse-absent,Sales,Unmarried,White,Female,0,2472,70,United-States,>50K,2304,5820144,624,0,118656,3360,1817388121,1576289,0,299737416,8487710,169,0,32136,910,0,0,0,6110784,173040,4900,,,
48,Private,47686,11th,7,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K,2304,2288928,336,0,0,1920,-2021012700,333802,0,0,1907440,49,0,0,280,0,0,0,0,0,1600,,,
32,Self-emp-not-inc,298332,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K,1024,9546624,416,0,0,1440,-1192330992,3878316,0,0,13424940,169,0,0,585,0,0,0,0,0,2025,,,
30,Private,19847,Some-college,10,Divorced,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K,900,595410,300,0,0,1200,393903409,198470,0,0,793880,100,0,0,400,0,0,0,0,0,1600,Divorced,10.82,15.09
31,Private,500002,1st-4th,2,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45,Mexico,<=50K,961,15500062,62,0,0,1395,893896836,1000004,0,0,22500090,4,0,0,90,0,0,0,0,0,2025,,,
44,Private,147265,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,1936,6479660,616,0,0,1760,212143745,2061710,0,0,5890600,196,0,0,560,0,0,0,0,0,1600,,,
33,Private,400416,10th,6,Never-married,Other-service,Own-child,Black,Male,0,0,20,United-States,<=50K,1089,13213728,198,0,0,660,1419183104,2402496,0,0,8008320,36,0,0,120,0,0,0,0,0,400,Never-married,47.35,41.81
34,Private,103651,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,1156,3524134,340,0,0,1360,-2141372087,1036510,0,0,4146040,100,0,0,400,0,0,0,0,0,1600,,,
35,Self-emp-not-inc,195744,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K,1225,6851040,315,0,0,1750,-338992128,1761696,0,0,9787200,81,0,0,450,0,0,0,0,0,2500,Divorced,10.82,15.09
36,Private,208358,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,99999,0,45,United-States,>50K,1296,7500888,540,3599964,0,1620,463383204,3125370,-639244838,0,9376110,225,1499985,0,675,1409865409,0,4499955,0,0,2025,Divorced,10.82,15.09
37,Self-emp-not-inc,607848,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,1369,22490376,481,0,0,1480,112003648,7902024,0,0,24313920,169,0,0,520,0,0,0,0,0,1600,,,
30,Private,339773,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,45,United-States,<=50K,900,10193190,270,0,0,1350,-518425463,3057957,0,0,15289785,81,0,0,405,0,0,0,0,0,2025,Never-married,47.35,41.81
39,Private,91367,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1848,45,United-States,>50K,1521,3563313,546,0,72072,1755,-242005903,1279138,0,168846216,4111515,196,0,25872,630,0,0,0,3415104,83160,2025,,,
44,Self-emp-inc,151089,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,70,United-States,>50K,1936,6647916,396,0,83028,3080,1353049441,1359801,0,285104943,10576230,81,0,16983,630,0,0,0,3560769,132090,4900,,,
35,State-gov,119421,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,35,United-States,>50K,1225,4179735,455,0,0,1225,1376473353,1552473,0,0,4179735,169,0,0,455,0,0,0,0,0,1225,,,
38,Private,193815,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,Italy,<=50K,1444,7364970,456,0,0,2090,-1090451439,2325780,0,0,10659825,144,0,0,660,0,0,0,0,0,3025,,,
33,Private,221196,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K,1089,7299468,330,0,0,1320,1683030160,2211960,0,0,8847840,100,0,0,400,0,0,0,0,0,1600,,,
50,State-gov,198103,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K,2500,9905150,650,0,0,2000,590092945,2575339,0,0,7924120,169,0,0,520,0,0,0,0,0,1600,Never-married,47.35,41.81
47,Private,120781,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,15024,0,40,?,>50K,2209,5676707,658,706128,0,1880,1703148073,1690934,1814613744,0,4831240,196,210336,0,560,225720576,0,600960,0,0,1600,,,
35,Private,297767,Some-college,10,Separated,Adm-clerical,Not-in-family,Black,Male,0,0,40,United-States,<=50K,1225,10421845,350,0,0,1400,-1529126927,2977670,0,0,11910680,100,0,0,400,0,0,0,0,0,1600,,,
38,State-gov,255191,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K,1444,9697258,342,0,0,1520,697937041,2296719,0,0,10207640,81,0,0,360,0,0,0,0,0,1600,Never-married,47.35,41.81
48,Private,102597,Some-college,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,44,United-States,<=50K,2304,4924656,480,0,0,2112,1936209817,1025970,0,0,4514268,100,0,0,440,0,0,0,0,0,1936,,,
46,Private,102308,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,56,United-States,>50K,2116,4706168,414,0,0,2576,1876992272,920772,0,0,5729248,81,0,0,504,0,0,0,0,0,3136,,,
48,Private,210424,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,914,0,40,United-States,<=50K,2304,10100352,432,43872,0,1920,1328586816,1893816,192327536,0,8416960,81,8226,0,360,835396,0,36560,0,0,1600,,,
34,Private,302770,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K,1156,10294180,340,0,0,2040,1475359684,3027700,0,0,18166200,100,0,0,600,0,0,0,0,0,3600,,,
40,State-gov,34218,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,1600,1368720,360,0,0,1600,1170871524,307962,0,0,1368720,81,0,0,360,0,0,0,0,0,1600,,,
50,Private,398625,11th,7,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K,2500,19931250,350,0,0,2000,-11899327,2790375,0,0,15945000,49,0,0,280,0,0,0,0,0,1600,Widowed,3.58,11.61
47,Private,436770,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,2209,20528190,517,0,0,1880,1789471876,4804470,0,0,17470800,121,0,0,440,0,0,0,0,0,1600,Never-married,47.35,41.81
35,Self-emp-not-inc,120301,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,<=50K,1225,4210535,350,0,0,1575,1587428713,1203010,0,0,5413545,100,0,0,450,0,0,0,0,0,2025,,,
39,Private,280570,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3103,0,50,United-States,>50K,1521,10942230,507,121017,0,1950,1410113572,3647410,870608710,0,14028500,169,40339,0,650,9628609,0,155150,0,0,2500,,,
44,Private,156815,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,1936,6899860,396,0,0,1760,-1178859551,1411335,0,0,6272600,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
37,Private,175390,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,<=50K,1369,6489430,333,0,0,1480,696881028,1578510,0,0,7015600,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
49,Private,50282,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,3325,0,45,United-States,<=50K,2401,2463818,490,162925,0,2205,-1766687772,502820,167187650,0,2262690,100,33250,0,450,11055625,0,149625,0,0,2025,Divorced,10.82,15.09
49,State-gov,247378,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,<=50K,2401,12121522,490,0,0,980,1066332740,2473780,0,0,4947560,100,0,0,200,0,0,0,0,0,400,Divorced,10.82,15.09
31,Private,204829,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K,961,6349699,279,0,0,1240,-994753719,1843461,0,0,8193160,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
42,Private,385591,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,1764,16194822,378,0,0,2100,-1643436079,3470319,0,0,19279550,81,0,0,450,0,0,0,0,0,2500,,,
30,Self-emp-not-inc,188798,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K,900,5663940,270,0,0,1200,1284946436,1699182,0,0,7551920,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
47,Private,264244,HS-grad,9,Married-spouse-absent,Craft-repair,Not-in-family,Black,Female,0,0,40,United-States,<=50K,2209,12419468,423,0,0,1880,1105414800,2378196,0,0,10569760,81,0,0,360,0,0,0,0,0,1600,,,
37,Local-gov,160910,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,40,United-States,>50K,1369,5953670,481,270026,0,1480,122224324,2091830,1174321180,0,6436400,169,94874,0,520,53260804,0,291920,0,0,1600,,,
47,Private,162302,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,20,United-States,<=50K,2209,7628194,423,0,0,940,572135428,1460718,0,0,3246040,81,0,0,180,0,0,0,0,0,400,Divorced,10.82,15.09
33,Private,168782,Assoc-voc,11,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K,1089,5569806,363,0,0,1320,-1577407548,1856602,0,0,6751280,121,0,0,440,0,0,0,0,0,1600,Never-married,47.35,41.81
34,Private,205733,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,1156,6994922,306,0,0,1360,-623605671,1851597,0,0,8229320,81,0,0,360,0,0,0,0,0,1600,Never-married,47.35,41.81
35,Private,30381,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K,1225,1063335,455,0,0,1575,923005161,394953,0,0,1367145,169,0,0,585,0,0,0,0,0,2025,,,
36,Private,132879,1st-4th,2,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Italy,<=50K,1296,4783644,72,0,0,1440,476959457,265758,0,0,5315160,4,0,0,80,0,0,0,0,0,1600,,,
42,Self-emp-not-inc,207392,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,12,United-States,<=50K,1764,8710464,378,0,0,504,61768704,1866528,0,0,2488704,81,0,0,108,0,0,0,0,0,144,,,
47,Private,188330,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,25,United-States,<=50K,2209,8851510,423,0,0,1175,1108450532,1694970,0,0,4708250,81,0,0,225,0,0,0,0,0,625,,,
34,Private,149507,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,>50K,1156,5083238,306,0,0,1870,877506569,1345563,0,0,8222885,81,0,0,495,0,0,0,0,0,3025,,,
30,State-gov,54318,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,900,1629540,210,0,0,1200,-1344522172,380226,0,0,2172720,49,0,0,280,0,0,0,0,0,1600,,,
45,Self-emp-inc,212954,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,<=50K,2025,9582930,450,0,0,2250,-1895234140,2129540,0,0,10647700,100,0,0,500,0,0,0,0,0,2500,,,
33,Private,296453,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,15,United-States,<=50K,1089,9782949,462,0,0,495,1985035289,4150342,0,0,4446795,196,0,0,210,0,0,0,0,0,225,,,
33,Local-gov,167474,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K,1089,5526642,396,0,0,1320,-2017230396,2009688,0,0,6698960,144,0,0,480,0,0,0,0,0,1600,,,
31,Private,118966,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,18,United-States,<=50K,961,3687946,279,0,0,558,1268007268,1070694,0,0,2141388,81,0,0,162,0,0,0,0,0,324,Never-married,47.35,41.81
32,Private,294121,Assoc-acdm,12,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,50,United-States,<=50K,1024,9411872,384,0,0,1600,607816721,3529452,0,0,14706050,144,0,0,600,0,0,0,0,0,2500,Divorced,10.82,15.09
40,Private,138975,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,56,United-States,<=50K,1600,5559000,360,0,0,2240,2134181441,1250775,0,0,7782600,81,0,0,504,0,0,0,0,0,3136,,,
50,Private,191299,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K,2500,9564950,450,0,0,2500,-2059398263,1721691,0,0,9564950,81,0,0,450,0,0,0,0,0,2500,,,
33,Local-gov,115488,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K,1089,3811104,429,0,0,1650,452576256,1501344,0,0,5774400,169,0,0,650,0,0,0,0,0,2500,,,
37,Self-emp-not-inc,241306,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,1369,8928322,333,0,0,1480,-1900956508,2171754,0,0,9652240,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
47,Federal-gov,160647,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,2209,7550409,423,0,0,1880,37654833,1445823,0,0,6425880,81,0,0,360,0,0,0,0,0,1600,,,
30,Private,184687,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Female,0,0,30,United-States,<=50K,900,5540610,270,0,0,900,-250450399,1662183,0,0,5540610,81,0,0,270,0,0,0,0,0,900,Never-married,47.35,41.81
36,Private,206521,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K,1296,7434756,324,0,0,1440,-298749519,1858689,0,0,8260840,81,0,0,360,0,0,0,0,0,1600,Never-married,47.35,41.81
49,Private,168211,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1485,40,United-States,>50K,2401,8242339,490,0,72765,1960,-1769830551,1682110,0,249793335,6728440,100,0,14850,400,0,0,0,2205225,59400,1600,,,
39,Self-emp-inc,543042,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,5178,0,50,United-States,>50K,1521,21178638,351,201942,0,1950,-1458129660,4887378,-1483095820,0,27152100,81,46602,0,450,26811684,0,258900,0,0,2500,,,
32,Private,209691,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,42,United-States,>50K,1024,6710112,416,0,0,1344,1020642521,2725983,0,0,8807022,169,0,0,546,0,0,0,0,0,1764,,,
36,Self-emp-not-inc,36425,Some-college,10,Divorced,Sales,Unmarried,White,Female,0,0,35,United-States,<=50K,1296,1311300,360,0,0,1260,1326780625,364250,0,0,1274875,100,0,0,350,0,0,0,0,0,1225,Divorced,10.82,15.09
40,Private,186916,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,1600,7476640,520,0,0,1600,577852688,2429908,0,0,7476640,169,0,0,520,0,0,0,0,0,1600,,,
35,Private,296478,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,1225,10376730,350,0,0,1400,1999858564,2964780,0,0,11859120,100,0,0,400,0,0,0,0,0,1600,,,
45,Self-emp-not-inc,123681,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,30,United-States,<=50K,2025,5565645,585,0,0,1350,-1882879423,1607853,0,0,3710430,169,0,0,390,0,0,0,0,0,900,,,
31,State-gov,350651,12th,8,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,40,United-States,>50K,961,10870181,248,0,0,1240,-1597927783,2805208,0,0,14026040,64,0,0,320,0,0,0,0,0,1600,,,
41,Self-emp-not-inc,196001,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,20,United-States,<=50K,1681,8036041,369,0,0,820,-238313663,1764009,0,0,3920020,81,0,0,180,0,0,0,0,0,400,,,
39,Private,120130,Some-college,10,Separated,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K,1521,4685070,390,0,0,1560,1546315012,1201300,0,0,4805200,100,0,0,400,0,0,0,0,0,1600,,,
34,Private,121966,Bachelors,13,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,0,0,45,United-States,<=50K,1156,4146844,442,0,0,1530,1990803268,1585558,0,0,5488470,169,0,0,585,0,0,0,0,0,2025,,,
50,Private,155574,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,2500,7778700,450,0,0,2000,-1566534300,1400166,0,0,6222960,81,0,0,360,0,0,0,0,0,1600,,,
50,Private,248619,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,2500,12430950,450,0,0,2000,1681865017,2237571,0,0,9944760,81,0,0,360,0,0,0,0,0,1600,,,
40,Private,133974,Some-college,10,Divorced,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K,1600,5358960,400,0,0,1600,769163492,1339740,0,0,5358960,100,0,0,400,0,0,0,0,0,1600,Divorced,10.82,15.09
42,Self-emp-not-inc,93853,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K,1764,3941826,420,0,0,1890,218451017,938530,0,0,4223385,100,0,0,450,0,0,0,0,0,2025,,,
44,Private,172475,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Vietnam,<=50K,1936,7588900,396,0,0,1760,-317145447,1552275,0,0,6899000,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
38,Private,187999,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,>50K,1444,7143962,494,0,0,1710,983885633,2443987,0,0,8459955,169,0,0,585,0,0,0,0,0,2025,,,
31,Private,387116,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,36,Jamaica,<=50K,961,12000596,310,0,0,1116,-465057904,3871160,0,0,13936176,100,0,0,360,0,0,0,0,0,1296,Never-married,47.35,41.81
38,Private,165466,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,60,United-States,>50K,1444,6287708,342,0,0,2280,1609193380,1489194,0,0,9927960,81,0,0,540,0,0,0,0,0,3600,,,
44,Private,111275,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,56,United-States,<=50K,1936,4896100,396,0,0,2464,-502776263,1001475,0,0,6231400,81,0,0,504,0,0,0,0,0,3136,Divorced,10.82,15.09
35,Private,173858,HS-grad,9,Married-spouse-absent,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0,0,40,?,<=50K,1225,6085030,315,0,0,1400,161833092,1564722,0,0,6954320,81,0,0,360,0,0,0,0,0,1600,,,
35,Private,197365,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K,1225,6907775,315,0,0,1400,298237561,1776285,0,0,7894600,81,0,0,360,0,0,0,0,0,1600,,,
44,Private,151504,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,1936,6666176,440,0,0,2200,1478625536,1515040,0,0,7575200,100,0,0,500,0,0,0,0,0,2500,,,
47,?,83046,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,18,United-States,<=50K,2209,3903162,611,0,0,846,-1693296476,1079598,0,0,1494828,169,0,0,234,0,0,0,0,0,324,,,
50,Local-gov,172175,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,2500,8608750,750,0,0,2000,-420540447,2582625,0,0,6887000,225,0,0,600,0,0,0,0,0,1600,,,
46,Private,166546,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,24,United-States,<=50K,2116,7661116,460,0,0,1104,1967766340,1665460,0,0,3997104,100,0,0,240,0,0,0,0,0,576,Divorced,10.82,15.09
38,Private,202683,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K,1444,7701954,342,0,0,1520,-1869274471,1824147,0,0,8107320,81,0,0,360,0,0,0,0,0,1600,Never-married,47.35,41.81
49,Local-gov,163229,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,56,United-States,<=50K,2401,7998221,441,0,0,2744,873902665,1469061,0,0,9140824,81,0,0,504,0,0,0,0,0,3136,,,
37,Private,190105,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,55,United-States,<=50K,1369,7033885,333,0,0,2035,1780172657,1710945,0,0,10455775,81,0,0,495,0,0,0,0,0,3025,Never-married,47.35,41.81
43,Federal-gov,175669,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K,1849,7553767,430,0,0,1720,794826489,1756690,0,0,7026760,100,0,0,400,0,0,0,0,0,1600,,,
45,Private,148995,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,40,United-States,>50K,2025,6704775,585,676080,0,1800,724673545,1936935,-2056466416,0,5959800,169,195312,0,520,225720576,0,600960,0,0,1600,,,
36,State-gov,89508,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K,1296,3222288,540,0,0,1440,-578252528,1342620,0,0,3580320,225,0,0,600,0,0,0,0,0,1600,Never-married,47.35,41.81
39,Private,150057,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,>50K,1521,5852223,390,0,0,2145,1042266769,1500570,0,0,8253135,100,0,0,550,0,0,0,0,0,3025,,,
38,Private,189623,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,40,United-States,>50K,1444,7205674,494,0,71706,1520,1597143761,2465099,0,357818601,7584920,169,0,24531,520,0,0,0,3560769,75480,1600,,,
33,Private,394447,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,33,United-States,>50K,1089,13016751,462,0,0,1089,969613153,5522258,0,0,13016751,196,0,0,462,0,0,0,0,0,1089,,,
38,Local-gov,37931,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K,1444,1441378,342,0,0,1520,1438760761,341379,0,0,1517240,81,0,0,360,0,0,0,0,0,1600,,,
40,Private,197344,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,65,United-States,>50K,1600,7893760,520,0,0,2600,289948672,2565472,0,0,12827360,169,0,0,845,0,0,0,0,0,4225,,,
49,Private,91251,HS-grad,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,40,China,<=50K,2401,4471299,441,0,0,1960,-263189591,821259,0,0,3650040,81,0,0,360,0,0,0,0,0,1600,,,
