age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,age_x_age,age_x_fnlwgt,age_x_education_num,age_x_capital_gain,age_x_capital_loss,age_x_hours_per_week,fnlwgt_x_fnlwgt,fnlwgt_x_education_num,fnlwgt_x_capital_gain,fnlwgt_x_capital_loss,fnlwgt_x_hours_per_week,education_num_x_education_num,education_num_x_capital_gain,education_num_x_capital_loss,education_num_x_hours_per_week,capital_gain_x_capital_gain,capital_gain_x_capital_loss,capital_gain_x_hours_per_week,capital_loss_x_capital_loss,capital_loss_x_hours_per_week,hours_per_week_x_hours_per_week,marital_status_statistics,male,female
45,Private,140581,Some-college,10,Widowed,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K,2025,6326145,450,0,0,1800,-1711818919,1405810,0,0,5623240,100,0,0,400,0,0,0,0,0,1600,Widowed,3.58,11.61
36,Private,185360,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K,1296,6672960,324,0,0,2160,-1408768,1668240,0,0,11121600,81,0,0,540,0,0,0,0,0,3600,,,
36,Private,261241,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,>50K,1296,9404676,324,0,0,1800,-472616655,2351169,0,0,13062050,81,0,0,450,0,0,0,0,0,2500,,,
48,Private,165267,10th,6,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,United-States,<=50K,2304,7932816,288,0,0,1920,1543377513,991602,0,0,6610680,36,0,0,240,0,0,0,0,0,1600,,,
31,Private,66815,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K,961,2071265,279,0,0,1550,169276929,601335,0,0,3340750,81,0,0,450,0,0,0,0,0,2500,,,
34,Private,441454,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,24,United-States,<=50K,1156,15009436,306,0,0,816,1608105796,3973086,0,0,10594896,81,0,0,216,0,0,0,0,0,576,Never-married,47.35,41.81
36,?,224886,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K,1296,8095896,324,0,0,1440,-965894556,2023974,0,0,8995440,81,0,0,360,0,0,0,0,0,1600,,,
47,Self-emp-inc,109832,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K,2209,5162104,423,0,0,2820,-821833664,988488,0,0,6589920,81,0,0,540,0,0,0,0,0,3600,Divorced,10.82,15.09
30,Self-emp-not-inc,182089,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,85,United-States,<=50K,900,5462670,270,0,0,2550,-1203334447,1638801,0,0,15477565,81,0,0,765,0,0,0,0,0,7225,,,
33,Private,285131,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,1089,9409323,297,0,0,1320,-304691463,2566179,0,0,11405240,81,0,0,360,0,0,0,0,0,1600,,,
50,Private,190762,5th-6th,3,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico,<=50K,2500,9538100,150,0,0,2000,2030402276,572286,0,0,7630480,9,0,0,120,0,0,0,0,0,1600,,,
35,Private,192251,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K,1225,6728785,315,0,0,1400,-1694258663,1730259,0,0,7690040,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
42,Self-emp-not-inc,140474,Assoc-acdm,12,Divorced,Craft-repair,Own-child,Amer-Indian-Eskimo,Male,0,0,35,United-States,<=50K,1764,5899908,504,0,0,1470,-1741891804,1685688,0,0,4916590,144,0,0,420,0,0,0,0,0,1225,Divorced,10.82,15.09
34,State-gov,171216,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,50,United-States,<=50K,1156,5821344,442,0,0,1700,-749852416,2225808,0,0,8560800,169,0,0,650,0,0,0,0,0,2500,Never-married,47.35,41.81
